system,threat_title
Conn_Cars,Compromising a third-party software supply chain to push malicious updates
Conn_Cars,Scanning the V2X network from a connected car to discover topology and nodes
Conn_Cars,"Electronically jamming a connected car’s safety systems, such as radar and lidar"
Conn_Cars,Electronically jamming wireless transmissions to disrupt operations
Conn_Cars,Discovering and abusing vulnerable remote systems using Shodan
Conn_Cars,Launching distributed denial-of-service (DDoS) attacks using a compromised ITS infrastructure
Conn_Cars,Launching DDoS attacks on an ITS infrastructure so that it fails to respond to requests
email_encryption,Web Interface: Auth Bypass
email_encryption,Web Interface: Permissions Bypass
email_encryption,Web Interface: Tomcat Vulns
email_encryption,Web Interface: XSS
email_encryption,Web Interface: CSRF
email_encryption,Web Interface: Web Vulns
email_encryption,Web Interface: SQL Injection
email_encryption,Web Interface: Log Injection Leading to XSS
email_encryption,Web Interface: Spring Vulns
email_encryption,Web Interface: MitM (Man-in-the-Middle)
email_encryption,Web Interface: ClickJack
email_encryption,SSH/Local Console: Auth Bypass
email_encryption,SSH/Local Console: OS Command Exec
email_encryption,SSH/Local Console: Shell
email_encryption,SSH/Local Console: OS Priv Esq
email_encryption,SSH/Local Console: MitM
email_encryption,SSH/Local Console: Default Credentials
email_encryption,Web Interface: OS Priv Esq
email_encryption,Web Interface: Default Credentials
email_encryption,Main Daemon: Malformed PDFs
email_encryption,Main Daemon: Malformed Certificates
email_encryption,Main Daemon: Key Material Storage
email_encryption,Main Daemon: OS Interaction/Command Injection
email_encryption,Main Daemon: Log Injection
email_encryption,Main Daemon: SQL Injection
email_encryption,Main Daemon: Command Execution
email_encryption,Main Daemon: IPC / RPC Interface Attack Surface
email_encryption,Main Daemon: Password Storage
email_encryption,Main Daemon: OTP Password Generation
email_encryption,Mail Transfer Agent: Memory Corruption
email_encryption,Mail Transfer Agent: Mail Relay
email_encryption,Mail Transfer Agent: Log Injection
email_encryption,Mail Transfer Agent: OS Command Injection
bitcoin,An attacker could steal a users private keys to steal their bitcoin.
bitcoin,An attacker could use a quantum computer to guess everyone's private keys.
bitcoin,An attacker could broadcast a fake transaction to the network in order to steal bitcoins.
bitcoin,An attacker could broadcast a large number of transactions that pay himself in order to clog the network.
bitcoin,An attacker could identify the participants in transactions through network traffic analysis
bitcoin,An attacker could identify the participants in a transaction through public transaction data.
bitcoin,An attacker could run mining software in order to prevent transactions from being confirmed.
bitcoin,An attacker could run mining software in order to double spend bitcoins.
bitcoin,An attacker could exploit a flaw in the proof of work algorithm to fake the performance of work.
bitcoin,An attacker could steal all of the hardware used to confirm Bitcoin transactions.
bitcoin,An attacker could claim to be Satoshi and remove a safety feature from the next version of Bitcoin.
bitcoin,An attacker could remove a safety feature from the next version of Bitcoin to enable a new capability.
bitcoin,An attacker could create a copy of Bitcoin (aka fork) that is missing a safety feature and trick people into using it.
bitcoin,An attacker could create a variety of implementations of Bitcoin in order to add a security flaw.
bitcoin,An attacker could create an insecure second layer network on top of Bitcoin.
bitcoin,An attacker could create a less secure digital asset and trick people into buying it.
bitcoin,An attacker could create a more secure digital asset so that investors will abandon Bitcoin.
bitcoin,An attacker could mine invalid Bitcoin blocks to remove a safety feature from Bitcoin
bitcoin,An attacker could deceive a Bitcoin node into thinking a transaction did or did not get confirmed.
bitcoin,An attacker could deceive a Bitcoin partial node (SPV client) into thinking a transaction did or did not get confirmed by the Bitcoin network.
bitcoin,An attacker could introduce security flaws into Bitcoin mining hardware in order to break the security of Bitcoin.
bitcoin,An attacker could threaten to harm an individual or group mining bitcoin.
bitcoin,An attacker could threaten to harm node individual or group running a Bitcoin node
bitcoin,An attacker could extort the private keys from an investor.
bitcoin,An attacker could deceive investors regarding the utility of Bitcoin.
bitcoin,An attacker could threaten to harm Bitcoin investors if they don't sell or hand over their bitcoin.
bitcoin,An attacker could threaten to harm anyone that attempts to buy or sell bitcoin.
bitcoin,An attacker could threaten to harm anyone accepting bitcoin as payment.
bitcoin,An attacker could threaten to harm anyone contributing to Bitcoin software.
bitcoin,An attacker could bribe or extort a Bitcoin developer into introducing a security flaw into Bitcoin.
bitcoin,An attacker could threaten to harm Bitcoin mining hardware manufacturers if they sell to the public.
containers,Compromising Secrets: Parameters
containers,Compromising Secrets: Public Access
containers,Network: Access other containers
containers,Network: Public ports
containers,DoS: Network
containers,DoS: Filesystem
containers,DoS: RAM
containers,DoS: CPU
containers,Poisoned Images: Infected App.
containers,Poisoned Images: Infected Images
containers,Poisoned Images: Outdated Images
containers,Container Outbreak: Processess as Root
containers,Container Outbreak: Usage of SETUID/SETGID
containers,Kernel Exploits
containers,Insecure Host
containers,Misconfiguration container
containers,Vulnerable application
containers,Supply chain attacks
containers,Expose secrets
containers,Insecure networking
containers,Integrity and confidentiality of OS images
containers,Container escape vulnerabilities
AMPS,Patient facing web server compromised
AMPS,Attacker leverages webserver trust relationships and/or access credentials to scrape patient medical database
AMPS,Attacker leverages webserver trust relationships and/or access credentials to retrieve partial payment information
AMPS,Attacker defaces website
AMPS,Attacker can move laterally in the infrastructure services network to compromise database server
AMPS,Attacker encrypts compromised systems
AMPS,Attacker compromises payment processing services
AMPS,Attacker installs a backdoor for long term access
AMPS,Payment information is stolen by attackers
AMPS,Attacker sniffs payment information as it is being submitted to the database
AMPS,Attacker has access to unencrypted payment database
AMPS,Attacker gains trusted access to payment database
AMPS,Attacker moves laterally to server containing payment database
AMPS,Attacker has physical access to database server
AMPS,Attacker has access to unencrypted payment database backups
AMPS,Attacker has a network connection to the payment database service
AMPS,Attacker has database administrative credentials
AMPS,Attacker has access to encrypted payment database
AMPS,Attacker has access to decryption keys
CTA,"Placing a modified version of the application in Google Play / Apple Store, one that was not built from the official source code or a compliant one with hidden malicious functionalities (for example collecting excessive data, user tracking). On purpose or by hijacking administrative accounts."
CTA,Affecting reviews of the application in Google Play / Apple Store. Negative comments spreading fake news or privacy concerns.
CTA,"Discovering a vulnerability with low or no risk impact, which will be considered as critical by media (bad PR)"
CTA,Publishing fake news (e.g. critical vulnerabilities affecting privacy)
CTA,Privilege access compromise - by exploiting infrastructure or workstations of the developers or administrators who manage the application and its infrastructure - this may include attacks on the company who develops the application or parts of the application for the controlling entity. 
CTA,User uninstalling the application due to UX or functional bugs - introduced on-purpose or unwittingly by the developer. For example: it consumes a lot of power or does not estimate signal strength properly
CTA,"Sensitive data leak - by discovering vulnerabilities in the API or infrastructure, for example access control bypass or remote code execution."
CTA,Making the API or infrastructure unavailable (Denial of Service attacks)
CTA,Affecting data integrity and statistics - by discovering vulnerabilities in the API or infrastructure
CTA,Intercepting data between the controlling entity server and applications - manipulation of that data - Man-in-The-Middle attacks.
CTA,Sensitive data leak from the application to other applications installed on the phone (mobile malware scenario)
CTA,Sensitive data leak from the application outside the phone (for example a malicious Bluetooth packet will result in leaking PII or generation keys)
CTA,Sensitive data leak from the application to third parties (data or crash analytics)
CTA,Compromising a third-party developing a Java / Swift / Javascript library used in the app - modification of the library and stealing sensitive data or changing infection data asd
CTA,De-anonymisation of collected data - matching UIDs with phone numbers and other data sources such as telecommunication providers (source IPs)
CTA,Using collected data against its intended use (for example: did citizen A meet citizen B and where)
CTA,Faking status display - showing “green” when the user is infected (“red status”).
CTA,Faking status change (self) - marking controlled accounts as infected without confirmation from the controlling entity.
CTA,Abusing status change (other users) - marking other users as potentially infected on purpose (for example: collect UIDs from isolation ward and broadcast in the shopping mall)
CTA,Blocking status change - blocking incoming infection notification - to avoid getting “red status”
CTA,Avoiding infection report - Infected users avoid marking themselves as infected in the app.
CTA,Abusing broadcast - Marking other users as potentially infected on purpose (for example: collect UIDs from isolation ward and broadcast in the shopping mall)
CTA,Abusing UIDs save - Making collected data useless: jamming Bluetooth signals or broadcasting a lot of fake UIDs
CTA,Abusing broadcast / UIDs save - Disruption of the data quality - by a network of fake accounts and/or fake contacts or infections
CTA,Disrupting data integrity and quality - for example an attack leading to multiple users having the same UIDs - low randomness of UIDs (on-purpose or not)
CTA,Abusing privacy - Making a certain user receive a set of known UIDs to track their movement.
CTA,Phishing - Changing the notification text of a status change (for example “click here: [malicious link]”)
CTA,Retrieving data locally - stealing someone’s phone and correlating tracking information to reveal their location history
CTA,Abusing privacy - Matching UIDs with user photos - for example mass scanning of Bluetooth signal and making photos of all pedestrians
CTA,"Abusing privacy - Fingerprinting phone device to match it with UIDs, for example MAC address of Bluetooth interface"
CTA,"Social campaign aiming to jam or fake Bluetooth broadcast - malicious application collecting UIDs and broadcasting them in different places; small devices (RaspberryPi, Arduino) placed in shops, parks; jamming"
vehicle_charging,Power is stolen or incorrectly billed: Intercepting and tampering with EVCC­to­SECC data flows using a modified charging cable
vehicle_charging,Power is stolen or incorrectly billed: Intercepting and tampering with EVCC­to­SECC data flows by Inserting a false SECC that intercepts and proxies messages
vehicle_charging,Power is stolen or incorrectly billed: Intercepting and tampering with EVCC­to­SECC data flows using a software­defined radio to intercept and inject messages
vehicle_charging,Power is stolen or incorrectly billed: Clone or replay identification/payment token.
vehicle_charging,"Power is stolen or incorrectly billed: Spoof the EVCC, for example by substituting the EVCC from a wrecked"
vehicle_charging,An actor tampers with the tariff schedule: Intercept and tamper with the EVCC­to­SECC data flow
vehicle_charging,An actor tampers with the tariff schedule: Intercept and tamper with EVSE­to­CSO data flow or spoof the CSO
vehicle_charging,"An actor tampers with the tariff schedule: Tamper with charger firmware, storage, or memory, targeting cached schedules"
vehicle_charging,An actor repudiates power transfers: Tamper with logs in the charger’s memory or storage
vehicle_charging,An actor repudiates power transfers: Tamper with the meter or meter­charger data flow
vehicle_charging,"An actor repudiates power transfers: Intercept charger­to­CSO data flows, tampering with transaction details"
vehicle_charging,"An actor repudiates power transfers: Tamper with EVCC­to­SECC data flows, disabling metering receipts"
vehicle_charging,"An actor repudiates power transfers: Spoof the EVCC, SECC, or both to manipulate and obscure transaction details"
vehicle_charging,"An actor repudiates power transfers: Tamper with human­machine interface, accessing privileged functions"
vehicle_charging,"An actor denies charging: Tampers with the BMS firmware, configuration, or memory"
vehicle_charging,An actor denies charging: Tampers with the EVCC­to­SECC data flow (Induce false charging state or settings)
vehicle_charging,An actor denies charging: Tampers with the EVCC­to­SECC data flow (Impersonate charger and transmit false power measurements.)
vehicle_charging,An actor denies charging: Physically tamper with power electronics
vehicle_charging,"An actor administratively opens breaker: Compromises privileged CSO, charger vendor, or similar account via phishing."
vehicle_charging,"An actor administratively opens breaker: Tampers with human­machine interface or controller storage, memory, or firmware"
vehicle_charging,An actor administratively opens breaker: Spoofs the CSO or tampers with charger­to­CSO data flows.
vehicle_charging,"An actor steals accounts: Compromises charging application user­level accounts, commands charging halt."
vehicle_charging,"An actor steals accounts: Compromises developer account to insert malicious functions into smartphone apps, firmware, or related vector."
vehicle_charging,"An actor steals accounts: Compromises CSO, charging station equipment vendor, or breaker privilege account to update equipment with improper settings or firmware, or invokes immediate stop charge function"
vehicle_charging,An actor tampers with EV electronic control units: Compromised telematic control unit provides vector to tamper with BMS or other electronic control unit
vehicle_charging,An actor tampers with EV electronic control units: EVCC commands incorrect voltage or current setpoints.
vehicle_charging,An actor tampers with EV electronic control units: Modified electronic control unit firmware at supply chain source
vehicle_charging,"An actor alters the charger behaviour or state: Tampers with controller firmware, storage, or memory."
vehicle_charging,An actor alters the charger behaviour or state: Accesses privileged interface to alter setpoints.
vehicle_charging,An actor coordinates the disruption of the charging processes: Denial-­of-­service attack against the CSO or charger­to­CSO data flow
vehicle_charging,"An actor coordinates the disruption of the charging processes:  Denies trust store update, certificate revocation list update, or time synchronisation"
vehicle_charging,An actor tampers with power delivery: Compromised developer or admin account pushes invalid configuration.
vehicle_charging,An actor tampers with power delivery: Compromises EVSE’s system shell and disrupts communication among EVSE power electronic modules
vehicle_charging,"An actor tampers with power delivery: Tampering with charger’s memory, storage, and firmware or compromising system shell to modify configuration parameters or code."
vehicle_charging,An actor tampers with power delivery: Tampering with chargers to introduce electrical conditions (e.g. electrical shorts).
vehicle_charging,An actor interferes with the SECC: Denies or intercepts and tampers with the EVCC­SECC or the charger­CSP dataflows
vehicle_charging,An actor interferes with the SECC: Spoofs the charger or the CSP
vehicle_charging,An actor interferes with the SECC: Denies CSP certificate revocation distribution or secure time synchronisation
vehicle_charging,"An actor compromises EV function: Compromised charger tampers with the EVCC, BMS, or other electronic control units (Overdischarging batteries, for example by modulating headlights)"
vehicle_charging,"An actor compromises EV function: Compromised charger tampers with the EVCC, BMS, or other electronic control units (Overcharging batteries by altering BMS controller setpoints.)"
vehicle_charging,"An actor compromises EV function: Compromised charger tampers with the EVCC, BMS, or other electronic control units (Disrupting thermal management and overheating of battery packs.)"
vehicle_charging,"An actor compromises EV function: Tampers with the EVCC­SECC data flow, specifying values that exceed limits."
vehicle_charging,An actor tampers with the charger: Tampered cooling controller causes customer to burn hand when touching connector or cabling.
vehicle_charging,"An actor tampers with the charger: Tampered circuit contactor is welded closed, causing electric shock"
vehicle_charging,An actor repurposes CSP or charger computing and network resources: Tampering with the charger or related systems to mine cryptocurrency.
vehicle_charging,An actor repurposes CSP or charger computing and network resources: Exploiting CSP or CSO systems to execute distributed denial of service attacks.
vehicle_charging,"An actor illicitly accesses business­competitive information, such as customer data: Tampers with CSO database using charging station field network access."
vehicle_charging,"An actor illicitly accesses business­competitive information, such as customer data: EV vulnerabilities or misconfigurations allow remote access to driver/vehicle information."
agentic_ai,"Memory Poisoning: Memory Poisoning involves exploiting an AI's memory systems, both short and long-term, to introduce malicious or false data and exploit the agent’s context."
agentic_ai,"Tool Misuse: Tool Misuse occurs when attackers manipulate AI agents to abuse their integrated tools through deceptive prompts or commands, operating within authorized permissions"
agentic_ai,"Agent Hijacking: where an AI agent ingests adversarial manipulated data and subsequently executes unintended actions, potentially triggering malicious tool interactions."
agentic_ai,Privilege Compromise:Privilege Compromise arises when attackers exploit weaknesses in permission management to perform unauthorized actions. This often involves dynamic role inheritance or misconfigurations.
agentic_ai,"Resource Overload: Resource Overload targets the computational, memory, and service capacities of AI systems to degrade performance or cause failures, exploiting their resource-intensive nature."
agentic_ai,"Cascading Hallucination Attacks: These attacks exploit an AI's tendency to generate contextually plausible but false information, which can propagate through systems and disrupt decision-making"
agentic_ai,"Intent Breaking & Goal Manipulation: This threat exploits vulnerabilities in an AI agent's planning and goal-setting capabilities, allowing attackers to manipulate or redirect the agent's objectives and reasoning."
agentic_ai,Misaligned & Deceptive Behaviors: AI agents executing harmful or disallowed actions by exploiting reasoning and deceptive responses to meet their objectives.
agentic_ai,Repudiation & Untraceability: Occurs when actions performed by AI agents cannot be traced back or accounted for due to insufficient logging or transparency in decision-making processes.
agentic_ai,"Identity Spoofing & Impersonation: Attackers exploit authentication mechanisms to impersonate AI agents or human users, enabling them to execute unauthorized actions under false identities"
agentic_ai,"Overwhelming Human in the Loop: This threat targets systems with human oversight and decision validation, aiming to exploit human cognitive limitations or compromise interaction frameworks."
agentic_ai,"Unexpected RCE and Code Attacks: Attackers exploit AI-generated execution environments to inject malicious code, trigger unintended system behaviors, or execute unauthorized scripts."
agentic_ai,"Agent Communication Poisoning: Attackers manipulate communication channels between AI agents to spread false information, disrupt workflows, or influence decision-making."
agentic_ai,"Rogue Agents in Multi-Agent Systems: Malicious or compromised AI agents operate outside normal monitoring boundaries, executing unauthorized actions or exfiltrating data"
agentic_ai,"Human Attacks on Multi-Agent Systems: Adversaries exploit inter-agent delegation, trust relationships, and workflow dependencies to escalate privileges or manipulate AI-driven operations."
agentic_ai,"Human Manipulation: In scenarios where AI agents engage in direct interaction with human users, the trust relationship reduces user skepticism, increasing reliance on the agent's responses and autonomy"
tf_m,The NS image can be tampered by an attacker
tf_m,An attacker may replace the current NS image with an older version.
tf_m,"If SPE doesn’t complete isolation configuration before NSPE starts, NSPE can access secure regions which it is disallowed to."
tf_m,"If SPE doesn’t complete isolation configuration before NSPE starts, NSPE can control devices or peripherals which it is disallowed to."
tf_m,"If SPE leaves some SPE information in non-secure memory or shared registers when NSPE starts, NSPE may access those SPE information."
tf_m,An attacker may block NS to boot up
tf_m,A malicious NS application may pretend as a secure client to access secure data which NSPE must not directly access.
tf_m,An attacker in NSPE may tamper the service request input or output vectors between check and use (Time-Of-Check-to-Time-Of-Use (TOCTOU)).
tf_m,A malicious NS application may request to tamper data belonging to SPE.
tf_m,A NS application may repudiate that it has requested services from a RoT service.
tf_m,A malicious NS application may request to read data belonging to SPE.
tf_m,"A malicious NS application may request to control secure device and peripherals, on which it doesn’t have the permission."
tf_m,A Malicious NS applications may frequently call secure services to block secure service requests from other NS applications.
tf_m,A malicious NS application may provide invalid NS memory addresses as the addresses of input and output data in RoT service requests.
tf_m,An attacker may tamper NS input data while the RoT service is processing those data.
tf_m,"A malicious NS application may embed secure memory addresses into a structure in RoT service request input vectors, to tamper secure memory which the NS application must not access."
tf_m,"A malicious NS application can embed secure memory addresses in a parameter structure in RoT service request input vectors, to read secure data which the NS application must not access."
tf_m,SPE may leave secure data in the registers not banked after the SPE completes PSA Client calls and executes BXNS to switch Armv8-M back to Non-secure state.
tf_m,Shared registers may contain secure data when NS interrupts occur.
tf_m,An attacker may trigger spurious NS interrupts frequently to block SPE execution.
tf_m,Shared registers may contain secure data when Armv8-M core switches back to Non-secure state on Secure interrupt return.
tf_m,Armv8-M processor Secure software Stack Sealing vulnerability.
tf_m,Invoking Secure functions from handler mode may cause TF-M IPC model to behave unexpectedly.
tf_m,Secure data in FP registers may be disclosed to NSPE when VLLDM instruction is abandoned due to an exception mid-way.
ros_2,An attacker spoofs a component identity.
ros_2,An attacker intercepts and alters a message.
ros_2,An attacker writes to a communication channel without authorization.
ros_2,An attacker listens to a communication channel without authorization.
ros_2,An attacker prevents a communication channel from being usable
ros_2,An attacker hijacks robot long-range communication
ros_2,An attacker intercepts robot long-range communications (e.g. MitM)
ros_2,An attacker disrupts (e.g. jams) robot long-range communication channels.
ros_2,An attacker executes arbitrary code using a short-range communication protocol vulnerability.
ros_2,An attacker gains unauthenticated access to the remote application interface.
ros_2,An attacker could eavesdrop communications to the RobotE28099s remote application interface.
ros_2,An attacker could alter data sent to the RobotE28099s remote application interface.
ros_2,An attacker compromises the real-time clock to disrupt the kernel RTscheduling guarantees.
ros_2,An attacker compromises the OS or kernel to alter robot data.
ros_2,An attacker compromises the OS or kernel to eavesdrop on robotdata.
ros_2,An attacker gains access to the robot OS through its administration interface.
ros_2,A node accidentally writes incorrect data to a communication channel.
ros_2,An attacker deploys a malicious component on the robot.
ros_2,An attacker can prevent a component running on the robot from executing normally.
ros_2,An attacker modifies configuration values without authorization.</td>
ros_2,An attacker accesses configuration values without authorization.
ros_2,A user accidentally misconfigures the robot.
ros_2,An attacker modifies the robot file system by physically accessing it.
ros_2,An attacker eavesdrops on the robot file system by physically accessing it.
ros_2,An attacker saturates the robot disk with data.
ros_2,An attacker exfiltrates log data to a remote server.
ros_2,An attacker spoofs a robot sensor (by e.g. replacing the sensor itselfor manipulating the bus).
ros_2,An attacker spoofs a robot actuator.
ros_2,An attacker modifies the command sent to the robot actuators.(intercept & retransmit)
ros_2,An attacker intercepts the robot actuators command (can recompute localization).
ros_2,An attacker sends malicious command to actuators to trigger theE-Stop
ros_2,An attacker compromises the software or sends malicious commands todrain the robot battery.
ros_2,An attacker connects to an exposed debug port.
ros_2,An attacker connects to an internal communication bus.
ros_2,An attacker intercepts the user credentials on their desktop machine.
ros_2,An attacker intercepts cloud service credentials deployed on the robot.
ros_2,An attacker gains read access to robot cloud data.
ros_2,An attacker alters or deletes robot cloud data.
ros_2,An attacker spoofs the deployment service.
ros_2,An attacker modifies the binaries sent by the deployment service.
ros_2,An attacker intercepts the binaries sent by the deployment service.
ros_2,An attacker prevents the robot and the deployment service from communicating.
ros_2,An attacker compromises a Certificate Authority trusted by the robot.
ros_2,An attacker spoofs a component identity.
ros_2,An attacker intercepts and alters a message.
ros_2,An attacker writes to a communication channel without authorization.
ros_2,An attacker listens to a communication channel without authorization.
ros_2,An attacker prevents a communication channel from beingusable.
ros_2,An attacker hijacks robot long-range communication
ros_2,An attacker intercepts robot long-range communications (e.g. MitM)</td>
ros_2,An attacker disrupts (e.g. jams) robot long-range  communication channels.
ros_2,An attacker executes arbitrary code using a short-range communication  protocol vulnerability.
ros_2,An attacker compromises the real-time clock to disrupt the kernel RT scheduling guarantees.
ros_2,An attacker compromises the OS or kernel to alter robot data.
ros_2,An attacker compromises the OS or kernel to eavesdrop on robotdata.
ros_2,An attacker gains access to the robot OS through its administration interface.
ros_2,A node accidentally writes incorrect data to a communication channel.
ros_2,An attacker deploys a malicious node on the robot.
ros_2,An attacker can prevent a component running on the robot from executing normally.
ros_2,An attacker modifies configuration values without authorization.
ros_2,An attacker access configuration values without authorization.
ros_2,A user accidentally misconfigures the robot.
ros_2,An attacker modifies the robot file system by physically accessing it.
ros_2,An attacker eavesdrops on the robot file system by physically accessing it.
ros_2,An attacker saturates the robot disk with data.
ros_2,An attacker exfiltrates log data to a remote server.
ros_2,An attacker spoofs a robot sensor (by e.g. replacing the sensor itselfor manipulating the bus).
ros_2,An attacker spoofs a robot actuator.
ros_2,An attacker modifies the command sent to the robot actuators.(intercept & retransmit)
ros_2,An attacker intercepts the robot actuators command (can recompute localization).
ros_2,An attacker sends malicious command to actuators to trigger theE-Stop
ros_2,An attacker compromises the software or sends malicious commands todrain the robot battery.
ros_2,An attacker intercepts the user credentials on their desktop machine.
ros_2,An attacker intercepts cloud service credentials deployed on the robot.
ros_2,An attacker alters or deletes robot cloud data.
ros_2,An attacker alters or deletes robot cloud data.
ros_2,An attacker spoofs the deployment service.
ros_2,An attacker modifies the binaries sent by the deployment service.
ros_2,An attacker intercepts the binaries sent by the depoyment service.
ros_2,An attacker prevents the robot  and the deployment service from communicating.
ros_2,An attacker spoofs a software component identity.
ros_2,An attacker intercepts and alters a message.
ros_2,An attacker writes to a communication channel without authorization.
ros_2,An attacker listens to a communication channel without authorization.
ros_2,An attacker prevents a communication channel from being usable.
ros_2,An attacker gains unauthenticated access to the remote application interface.
ros_2,An attacker could eavesdrop communications to the RobotE28099s remote application interface.
ros_2,An attacker could alter data sent to the RobotE28099s remote application interface.
ros_2,An attacker compromises the real-time clock to disrupt the kernel RT scheduling guarantees.
ros_2,An attacker compromises the OS or kernel to alter robot data.
ros_2,An attacker compromises the OS or kernel to eavesdrop on robotdata.
ros_2,A node accidentally writes incorrect data to a  communication channel.
ros_2,An attacker deploys a malicious node on the robot.
ros_2,An attacker can prevent a component running on the robot from executing normally.
ros_2,An attacker modifies configuration values without authorization.
ros_2,An attacker accesses configuration values without authorization.
ros_2,A user accidentally misconfigures the robot.
ros_2,An attacker modifies the robot file system by physically accessing it.
ros_2,An attacker eavesdrops on the robot file system by physically accessing it.
ros_2,An attacker saturates the robot disk with data.
ros_2,An attacker exfiltrates log data to a remote server.
ros_2,An attacker spoofs a robot sensor (by e.g. replacing the sensor itself or manipulating  the bus).
ros_2,An attacker spoofs a robot actuator.
ros_2,An attacker modifies the command sent to the robot actuators (intercept & retransmit).
ros_2,An attacker connects to an exposed debug port.
ros_2,An attacker connects to an internal communication bus.
ros_2,An attacker spoofs the deployment service.
ros_2,An attacker modifies the binaries sent by the deployment service.
ros_2,An attacker intercepts the binaries sent by the depoyment service.
ros_2,An attacker prevents the robot  and the deployment service from communicating.
dns,"Any query sent to the resolver is necessarily visible to the resolver. That is, the operator of the resolver may be able to collect information about which websites you visit. The operator may use this data to profit directly or by e.g., selling the data."
dns,"Attacker may force the operator of a given resolver to collect information. This is likely costly when done for specific targets, as individual targets may use different resolvers; the more centralized the DNS becomes, the more cost-effective it becomes to target a central resolver."
dns,"By default, resolvers will forward your full query to each authoritative nameserver, meaning that the operators of those systems may also be able to collect this information. The privacy implications may be exacerbated through the use of the EDNS Client Subnet extension; the information leak can be partially mitigated through the use of QNAME Minimization on the resolver."
dns,"Since any data exchanged between the client and the resolver is transmitted in the clear by the default DNS transport mechanisms via unencrypted and unauthenticated UDP and TCP traffic to port 53, Attacker may observe and collect this data along any of the data paths."
dns,Any data exchanged can be manipulated in transit by an attacker.
dns,"Attacker may be able to force a resolver to return certain data, including e.g., the NS records for a specific domain, thereby redirecting all inquiries to an unauthentic name server. (For simplicity's sake in this discussion, we consider Grace's ability to manipulate the root and gTLS authoritative name servers to be limited in the general case. Adjust based on your personal level of paranoia.)"
